dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,Timer-S1,40.124199198593914,40.124199198593914,3.4617915260779477,0.5485673344780608,0.08816179249923911,0.07384879916321997,3.894213012234831,6.3343665191235905,0.10862040442450122,0.05936208371597724,0.0464520221929793,Transport,1
loop_seattle/5T/medium,Timer-S1,72.48723676148091,72.48723676148091,4.827001247661894,0.7664461823516591,0.16062457798189178,0.1102652404281254,7.337261171829612,8.513943666802177,0.15148054859052446,0.08588226862412468,0.06979805067992738,Transport,1
loop_seattle/5T/long,Timer-S1,89.30432404540764,89.30432404540764,5.327618750716661,0.839695571136051,0.17672282376949316,0.12031546518461185,10.642926224050353,9.450096509846217,0.16707963894627897,0.094193389071288,0.078938414274163,Transport,1
loop_seattle/D/short,Timer-S1,17.827562242002063,17.827562242002063,2.905472378095975,0.8774932265683149,0.05433593372073336,0.05357475162659636,7.338275246689231,4.2222697973959535,0.07545760829637058,0.05192467728080869,0.04201404666130622,Transport,1
loop_seattle/H/short,Timer-S1,55.81885998859377,55.81885998859377,3.982143986186926,0.809871281114228,0.10983781263950135,0.09155432813152421,7.263440477072996,7.471202044423225,0.1322478737520238,0.07048799805122725,0.05747970984086029,Transport,1
loop_seattle/H/medium,Timer-S1,64.55165763673891,64.55165763673891,4.351867663183694,0.8944065214106747,0.11903979416602167,0.0994038647788474,10.841692133469692,8.034404622418448,0.14200718631178527,0.07691876512237898,0.06474134188189778,Transport,1
loop_seattle/H/long,Timer-S1,58.28612831097351,58.28612831097351,4.109874333505332,0.862711399123962,0.12388677921826625,0.09557849318455452,12.768148972835483,7.634535238701404,0.13643936590501113,0.07344895667914007,0.06290267859357922,Transport,1
m_dense/D/short,Timer-S1,7307.096296296297,7307.096296296297,40.464988425925924,0.6169750117807944,0.11303023217429578,0.08929766619646991,7.164029693262074,85.4815552987678,0.1479812166005372,0.07005088052113964,0.05813153807207135,Transport,1
m_dense/H/short,Timer-S1,41090.817777777775,41090.817777777775,85.10005208333334,0.7660353710116028,0.26797672402334216,0.20531814575195312,8.701531569379434,202.70870178109715,0.35955472518875803,0.15094628682203534,0.1252095332766738,Transport,1
m_dense/H/medium,Timer-S1,37203.13333333333,37203.13333333333,80.84982638888889,0.700441835356724,0.24978173477675772,0.19379030015733506,9.808665244422208,192.8811378370973,0.3355888118939457,0.14066848362639933,0.11858139437748491,Transport,1
m_dense/H/long,Timer-S1,35491.097283950614,35491.097283950614,80.9141049382716,0.6967013904466347,0.24577460372708906,0.19214631257233797,10.233356270940748,188.39080997742596,0.32613234129668106,0.14007427692787086,0.11865543676600268,Transport,1
sz_taxi/15T/short,Timer-S1,16.611167898399344,16.611167898399344,2.7275291880699597,0.5442484759004441,1017100303984.0328,0.3929895836500603,3.812465096059053,4.075680053487926,0.3810935159627358,0.2550356442437186,0.20031972644979318,Transport,1
sz_taxi/15T/medium,Timer-S1,16.31380375267094,16.31380375267094,2.7795831663995725,0.5416448904090391,9277280784489.025,0.4093898675380609,6.981137311493223,4.039035002654835,0.37589962456395026,0.25868660905565444,0.2172055850189928,Transport,1
sz_taxi/15T/long,Timer-S1,15.529677483974359,15.529677483974359,2.7259598691239315,0.5140575339609862,5815155674951.622,0.4033284157429665,9.194675398206401,3.9407711788397912,0.36475076054993144,0.25230998968691143,0.2209628315647021,Transport,1
sz_taxi/H/short,Timer-S1,7.241992396167201,7.241992396167201,1.8630071134648771,0.5670752467936436,1.0215098063151042,0.29644468910673744,4.006721278686494,2.691095018048824,0.2506921073766177,0.17355060902708938,0.13715178915277598,Transport,1
bitbrains_fast_storage/5T/short,Timer-S1,1646975.0851283614,1646975.0851283614,152.71493530758647,0.6774172893868221,1.9006993917983672,0.7383470480664871,13.090267189320276,1283.3452712066075,4.029386809948532,0.47948713399004433,0.3783816421501358,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Timer-S1,3050087.541585011,3050087.541585011,276.49732860894864,0.9967564915226848,3.6010643310916155,0.8164807368497723,25.09495976473739,1746.4499825603398,5.306197703666622,0.84007529833971,0.6660080525783614,Web/CloudOps,2
bitbrains_fast_storage/5T/long,Timer-S1,5891953.931094186,5891953.931094186,438.3468696716628,0.9188018113983338,4.889277091200811,0.835653128181257,22.311506660657702,2427.3347381632775,6.414721011438754,1.1584199043387464,0.9116330206422228,Web/CloudOps,2
bitbrains_fast_storage/H/short,Timer-S1,2874601.0100335022,2874601.0100335022,313.524269764971,1.0892621580784232,3.5060457980511797,0.5887925326693957,22.97524374262164,1695.4648359767011,4.832625401583752,0.8936459889516792,0.6694915057295341,Web/CloudOps,2
bitbrains_rnd/5T/short,Timer-S1,1588714.231179497,1588714.231179497,117.66233900800019,1.6595213853831245,1.1242440825856441,0.6678827782071554,52.85699971335289,1260.442077677311,5.157365091938922,0.4814403220765048,0.38679716124238,Web/CloudOps,2
bitbrains_rnd/5T/medium,Timer-S1,2286794.775124014,2286794.775124014,148.6034145345325,4.435228165495713,0.4628682659051511,0.7215546746705013,164.927588935217,1512.2151881012219,6.362659334417284,0.6252502355842859,0.6141298084511926,Web/CloudOps,2
bitbrains_rnd/5T/long,Timer-S1,2299418.5471972283,2299418.5471972283,155.9650800344185,3.389684010827208,0.8078235162240089,0.6992464185381253,123.2492281698445,1516.3833773809406,5.8089233355709,0.5974671092154271,0.5791391086409061,Web/CloudOps,2
bitbrains_rnd/H/short,Timer-S1,1899515.5043689527,1899515.5043689527,153.78928327863264,5.896231281344538,1.5125327684241618,0.5714565612212821,211.4529027460208,1378.229118967145,6.031805212377903,0.6730571773023404,0.6225098312821512,Web/CloudOps,2
bizitobs_application/10S/short,Timer-S1,309363.23555555556,309363.23555555556,300.3104513888889,1.0887868363996358,0.014811143875122071,0.014978514777289497,11.854179573647343,556.2043109825341,0.02145057706242759,0.011581773734889412,0.009451813484122594,Web/CloudOps,2
bizitobs_application/10S/medium,Timer-S1,4109840.64,4109840.64,1144.1120833333334,2.4166801358616,0.03539544105529785,0.03609566370646159,55.19478677196246,2027.274189644805,0.07960509080290155,0.04492591418943894,0.04120420785904387,Web/CloudOps,2
bizitobs_application/10S/long,Timer-S1,5792214.471111111,5792214.471111111,1459.9529166666666,3.038083073942534,0.044178602430555554,0.04513198428683811,87.8394072043441,2406.701990507157,0.09281687591107646,0.05630454839724834,0.05372813972151872,Web/CloudOps,2
bizitobs_l2c/5T/short,Timer-S1,19.018789527529762,19.018789527529762,2.4177141462053573,0.2539680547293105,0.13047635153106624,0.19735943022228422,1.6092628442622967,4.3610537175698445,0.14977623687462446,0.08303408994901576,0.06615227393612078,Web/CloudOps,7
bizitobs_l2c/5T/medium,Timer-S1,70.43299319727892,70.43299319727892,5.054742307079081,0.5108885933521335,0.3654042141264629,0.6487326278167517,5.300873820489501,8.39243666626558,0.44156558477152447,0.2659537785571306,0.21879117281692967,Web/CloudOps,7
bizitobs_l2c/5T/long,Timer-S1,78.2130753968254,78.2130753968254,5.21434089781746,0.5298279681179664,0.3944449107300106,0.7380269562251984,6.768092213294168,8.84381565823403,0.496567027681681,0.29277744595880467,0.24749239977482823,Web/CloudOps,7
bizitobs_l2c/H/short,Timer-S1,54.02965339781746,54.02965339781746,4.418847946893601,0.4298189556671987,0.38416120131238757,0.6108553447420635,2.742024337052217,7.35048660959378,0.3962100531786581,0.2381872212027435,0.18595040044695146,Web/CloudOps,7
bizitobs_l2c/H/medium,Timer-S1,68.23084542410714,68.23084542410714,4.784223865327381,0.4879415702565054,0.5485492595661998,0.759121558779762,5.112718261744214,8.260196451907614,0.5001674416809279,0.2896920218643245,0.24235585012231547,Web/CloudOps,7
bizitobs_l2c/H/long,Timer-S1,73.9852306547619,73.9852306547619,4.971195281498016,0.5398840763506663,0.6224685803838403,0.7655405680338542,8.411804041315499,8.601466773449857,0.525402415884199,0.30365495554703187,0.25991257415240815,Web/CloudOps,7
bizitobs_service/10S/short,Timer-S1,2388.884867724868,2388.884867724868,19.004462632275132,0.7471334934383044,0.06698040674603174,0.05073239281063988,7.568068095134053,48.87621985920012,0.03620906620516946,0.014079113475388582,0.010979919004135398,Web/CloudOps,2
bizitobs_service/10S/medium,Timer-S1,11483.177142857143,11483.177142857143,36.481976686507934,1.0373598910996726,0.072266114250062,0.06494361514136905,14.785269541471607,107.15958726524259,0.08065083060325447,0.027457195356049784,0.023498018053530283,Web/CloudOps,2
bizitobs_service/10S/long,Timer-S1,129979.43534391535,129979.43534391535,74.21501322751323,1.2422253263380303,0.08608623201884921,0.08108438481729498,26.870165978909217,360.526608371581,0.2670896372276328,0.05498085439327861,0.05224646267613943,Web/CloudOps,2
car_parts/M/short,Timer-S1,1.4067515391854948,1.4067515391854948,0.48251330204752474,0.8562007641052951,0.8061227664382665,1.8843913538864254,19.167349829344438,1.1860655711997945,2.8440635726093833,1.1570174018833128,1.0009452389076323,Sales,1
covid_deaths/D/short,Timer-S1,455636.5954887218,455636.5954887218,130.787343358396,45.18780895813061,0.12072340138423121,0.41181178654644424,1072.314059710557,675.0085891962574,0.2539752666546592,0.049209374423005145,0.04312143568149427,Healthcare,1
electricity/15T/short,Timer-S1,122608.40864864865,122608.40864864865,49.037808804898646,0.9326960350193274,0.16181492213809257,0.15865357545045045,10.474301918149914,350.15483524956306,0.6902242007557088,0.09666318720131015,0.0804257168751967,Energy,1
electricity/15T/medium,Timer-S1,288583.48036036035,288583.48036036035,55.06467497184685,0.8407433320816704,0.1269590197973427,0.1327106988580377,8.75812970953008,537.1996652645647,0.9256491183354257,0.09488197989478343,0.07874515796394828,Energy,1
electricity/15T/long,Timer-S1,332866.4579219219,332866.4579219219,58.51444725975976,0.8817177339366992,0.1347359201319268,0.13440894727735547,10.061781937806295,576.9458015463167,0.9102027092191082,0.09231371175861879,0.07705459751015944,Energy,1
electricity/D/short,Timer-S1,1208356801.7112794,1208356801.7112794,4140.974558558559,1.3908466669371302,0.2793458904903797,0.09372550675675675,11.154751240195736,34761.42692283042,0.5712456873686543,0.06804996421266828,0.05396546398969268,Energy,1
electricity/H/short,Timer-S1,1683431.5757657657,1683431.5757657657,164.11388267173425,0.8878907850773652,0.16605404212353983,0.12128883464916332,10.147451558037462,1297.4712234827275,0.6124990749368113,0.07747347263001843,0.06361121665546676,Energy,1
electricity/H/medium,Timer-S1,7165476.926846847,7165476.926846847,247.8074831081081,1.0458818045643425,0.23573033322891376,0.12849344064523507,12.29188671455697,2676.8408482475843,1.0448591964170875,0.09672742697272627,0.08068067654843736,Energy,1
electricity/H/long,Timer-S1,9517958.030222222,9517958.030222222,276.99434834834835,1.151726833122245,0.28983580411523135,0.1396708544481982,16.89757708847881,3085.118803258996,1.2167699435082777,0.10924648906093928,0.0935247984663984,Energy,1
electricity/W/short,Timer-S1,41356038653.23243,41356038653.23243,28357.1027027027,1.5725071063259435,0.25205222348839207,0.10069203677478138,11.963308429602566,203361.84168430525,0.46400461309598257,0.06470155049301997,0.05018055977231087,Energy,1
